frame,time,x,y,z,phi,theta,psi,thrust_ratio,thrust,vectoring_angle,torque
1,0.0,-452.7052723561573,0.0,1000.0,0.0,-0.05808229769630047,0.0,1.0,58860.0,-0.39269908169872414,-563118.6707252297
2,0.1,-453.17633710472285,0.0,998.355375814831,0.0,-0.05808229769630047,0.0,1.0,58860.0,-0.39269908169872414,-563118.6707252297
3,0.2,-453.6360125127596,0.0,996.8085207771107,0.0,-0.06709219642790415,0.0,1.0,58860.0,-0.39269908169872414,-563118.6707252297
4,0.30000000000000004,-454.08429858026744,0.0,995.3594348868394,0.0,-0.0851119938911115,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
5,0.4,-454.5194310322203,0.0,994.0080075784944,0.0,-0.11214169008592254,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
6,0.5,-454.9462240746071,0.0,992.656225163868,0.0,-0.1436763356465354,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
7,0.6,-455.3620390605649,0.0,991.3038265544458,0.0,-0.1797159305729501,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
8,0.7,-455.76380784034774,0.0,989.9504171519009,0.0,-0.22026047486516664,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
9,0.7999999999999999,-456.14804123666534,0.0,988.5954278007791,0.0,-0.265309968523185,0.0,0.5,29430.0,-0.39269908169872414,-281559.33536261483
10,0.8999999999999999,-456.51084137098337,0.0,987.2380684098583,0.0,-0.31486441154700523,0.0,0.5,29430.0,-0.20521733291297592,-149931.08884731866
11,0.9999999999999999,-456.84791886088277,0.0,985.8772766246118,0.0,-0.36892380393662727,0.0,0.5,29430.0,0.10404244501598384,76411.19824668765
12,1.0999999999999999,-457.1546160019928,0.0,984.5116620842186,0.0,-0.42538209374780644,0.0,0.5,29430.0,0.26419260171427844,192126.3745704528
13,1.2,-457.42593712005583,0.0,983.1394469809461,0.0,-0.4806178043870386,0.0,1.0,58860.0,0.17254569791117058,252643.01108172027
14,1.3,-457.6567754235572,0.0,981.7584893156693,0.0,-0.5327794930331435,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
15,1.4000000000000001,-457.79690515460317,0.0,980.4534040472923,0.0,-0.5808988935019409,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
16,1.5000000000000002,-457.88720699663816,0.0,979.1347219828589,0.0,-0.6245133446049365,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
17,1.6000000000000003,-457.9236739517121,0.0,977.7999485456904,0.0,-0.6636228463421302,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
18,1.7000000000000004,-457.9027815872104,0.0,976.4466585141906,0.0,-0.698227398713522,0.0,1.0,58860.0,0.31556262391928297,456682.03057944565
19,1.8000000000000005,-457.8214620906498,0.0,975.0725483100142,0.0,-0.728327001719112,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
20,1.9000000000000006,-457.6140132824485,0.0,973.7506239559536,0.0,-0.751119692235431,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
21,2.0000000000000004,-457.34126695341496,0.0,972.4038105558081,0.0,-0.769407433385948,0.0,1.0,58860.0,0.3655511179512576,526008.3534245084
22,2.1000000000000005,-457.0015715339284,0.0,971.030600916286,0.0,-0.7831902251706632,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
23,2.2000000000000006,-456.525377870019,0.0,969.7002262591828,0.0,-0.7885568833005863,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
24,2.3000000000000007,-455.9799703582707,0.0,968.3412717665454,0.0,-0.7894185920647075,0.0,1.0,58860.0,0.35704314598543213,514297.1770647303
25,2.400000000000001,-455.36497690623094,0.0,966.9533649919742,0.0,-0.7857753514630269,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
26,2.500000000000001,-454.61069245490415,0.0,965.6055336765758,0.0,-0.7739033560283106,0.0,1.0,58860.0,0.3288149833553436,475179.3186503306
27,2.600000000000001,-453.7870146688074,0.0,964.2289433670072,0.0,-0.7575264112277925,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
28,2.700000000000001,-452.8262063871828,0.0,962.8945729319979,0.0,-0.7335465973288691,0.0,1.0,58860.0,0.2838710986375869,412128.75712614314
29,2.800000000000001,-451.7979910063961,0.0,961.5333758649639,0.0,-0.7050618340641438,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
30,2.9000000000000012,-450.638418103241,0.0,960.2198170609812,0.0,-0.6699830106854002,0.0,0.5,29430.0,0.39269908169872414,281559.33536261483
31,3.0000000000000013,-449.41526846165397,0.0,958.8828684191611,0.0,-0.6303992379408548,0.0,1.0,58860.0,0.1637770768833694,239922.03399029604
32,3.1000000000000014,-448.1312014011052,0.0,957.5247137177203,0.0,-0.5863105158305076,0.0,0.5,29430.0,0.3838298444193386,275519.5262011809
33,3.2000000000000015,-446.7314808550761,0.0,956.2269478527829,0.0,-0.5383830411763157,0.0,0.5,29430.0,0.22374708715092625,163251.78226801008
34,3.3000000000000016,-445.27748241282666,0.0,954.912798081621,0.0,-0.4860472541029049,0.0,0.5,29430.0,0.1337396429973896,98105.87251712638
