frame,time,x,y,z,phi,theta,psi,thrust_ratio,thrust,vectoring_angle,torque
1,0.0,-97.93733464551823,0.0,2000.0,0.0,-0.1949334200633992,0.0,0.7060396368491092,41557.493024938565,-0.19634954084936207,-202686.6174104567
2,0.1,-98.01113375158671,0.0,1998.6807145071448,0.0,-0.1949334200633992,0.0,0.6859861024067276,40377.14198765999,-0.06931917122920514,-69916.72571059986
3,0.2,-98.05810040115125,0.0,1997.399230406709,0.0,-0.1981764059419665,0.0,0.6679019759898579,39312.71030676304,0.026007192236056242,25557.449063467444
4,0.30000000000000004,-98.07899671231766,0.0,1996.151687712494,0.0,-0.20253805943190342,0.0,0.6516386381796815,38355.450243256055,0.0728907403901353,69832.05382174393
5,0.4,-98.07409317177917,0.0,1994.9345225251884,0.0,-0.20649079373682486,0.0,0.637031506740548,37495.674486748656,0.09514797114880877,89056.4184786544
6,0.5,-98.04347151486803,0.0,1993.7444954500922,0.0,-0.20932621518059838,0.0,0.6239113094578512,36723.419674689125,0.10462432972337549,95878.9364339945
7,0.6,-97.98722450021437,0.0,1992.578698815419,0.0,-0.21073673392871342,0.0,0.612116059408484,36029.15125678337,0.10728435251855656,96448.83543045375
8,0.7,-97.9055402903444,0.0,1991.4345414795748,0.0,-0.21061318969388457,0.0,0.6014960306985276,35404.056366915334,0.10615278300144775,93779.62141541817
9,0.7999999999999999,-97.79873410722486,0.0,1990.309724413262,0.0,-0.20894646409216844,0.0,0.5919155168285517,34840.14732052855,0.10278378796637724,89367.50976557827
10,0.8999999999999999,-97.66725606703089,0.0,1989.2022131122299,0.0,-0.20577926454780562,0.0,0.5832530540794273,34330.27476311509,0.09799657288875051,83971.6798254418
11,0.9999999999999999,-97.51168845805782,0.0,1988.1102097239775,0.0,-0.20118218484719355,0.0,0.5754009129936385,33868.09773880556,0.09224257137679615,77991.30002886994
12,1.0999999999999999,-97.33273849373288,0.0,1987.0321262573932,0.0,-0.19524155826937442,0.0,0.5682642522447158,33448.03388712397,0.08578824248923976,71648.24152729951
13,1.2,-97.1312292365655,0.0,1985.9665595010208,0.0,-0.18805307089109338,0.0,0.561760129755586,33065.20123741379,0.07880596890661806,65075.973917040224
14,1.3,-96.9080898595333,0.0,1984.9122679085583,0.0,-0.17971821164837554,0.0,0.55581646713279,32715.357255436018,0.07141929816262335,58363.05125709134
15,1.4000000000000001,-96.66434572097458,0.0,1983.868150529456,0.0,-0.17034213682298505,0.0,0.5503710146383543,32394.83792161353,0.06372554209316166,51574.541750417266
16,1.5000000000000002,-96.40110842789328,0.0,1982.8332279738677,0.0,-0.1600322531774811,0.0,0.5453703400845804,32100.4982173784,0.055807147526406635,44762.687446602904
17,1.6000000000000003,-96.11956594097063,0.0,1981.8066253575673,0.0,-0.14889717686397047,0.0,0.5407688536855906,31829.65472793386,0.047737480660171784,37972.26204999437
18,1.7000000000000004,-95.82097273430239,0.0,1980.787557150216,0.0,-0.1370458975513142,0.0,0.5365278757034784,31580.03076390674,0.039583808306812435,31243.286541202047
19,1.8000000000000005,-95.50664001777511,0.0,1979.775313837948,0.0,-0.12458706204585801,0.0,0.5326147514802689,31349.704272128627,0.03140884792190188,24612.405127067523
20,1.9000000000000006,-95.17792603835049,0.0,1978.7692503030967,0.0,-0.11162833395574259,0.0,0.529002017525254,31137.058751536453,0.023271564841969388,18113.56699195277
21,2.0000000000000004,-94.83622648822194,0.0,1977.7687758174775,0.0,-0.0982758073835941,0.0,0.5256666219121336,30940.737365748188,0.015227556173151437,11778.340203998669
22,2.1000000000000005,-94.48296505828034,0.0,1976.773345540069,0.0,-0.08463346373957435,0.0,0.5225892019287391,30759.600425525587,0.007329196069280212,5636.028104440251
23,2.2000000000000006,-94.11958418272042,0.0,1975.7824534049407,0.0,-0.07080266665229062,0.0,0.5197534215298046,30592.6863912443,-0.00037436246279416464,-286.3188288350938
24,2.3000000000000007,-93.74753602442509,0.0,1974.7956262810683,0.0,-0.05688169311533586,0.0,0.5171453706039341,30439.17651374756,-0.007837272577348562,-5963.942030058184
25,2.400000000000001,-93.36827375114915,0.0,1973.812419282468,0.0,-0.04296530067964246,0.0,0.5147530273778018,30298.363191457414,-0.01501712773708681,-11374.432229664759
26,2.500000000000001,-92.98324314998743,0.0,1972.8324121052037,0.0,-0.029144331316429982,0.0,0.5125657844760774,30169.62207426191,-0.021875117281390133,-16497.78470138198
27,2.600000000000001,-92.59387462281205,0.0,1971.8552062674246,0.0,-0.015505352868892146,0.0,0.510574038283259,30052.38789335262,-0.028376181737978286,-21316.439550782496
28,2.700000000000001,-92.20157559899647,0.0,1970.8804231298543,0.0,-0.002130338976576421,0.0,0.5087688403664152,29946.133943967197,-0.034489150648942236,-25815.299523708938
29,2.800000000000001,-91.80772339448806,0.0,1969.9077025770466,0.0,0.010903611882926784,0.0,0.5071416088655597,29850.355097826847,-0.0401868495684378,-29981.72173171334
30,2.9000000000000012,-91.41365853875271,0.0,1968.936702244209,0.0,0.023524517950050644,0.0,0.5056838969824458,29764.554176386755,-0.04544616658831976,-33805.48266847554
31,3.0000000000000013,-91.0206785838085,0.0,1967.9670971803037,0.0,0.03566571646946709,0.0,0.5043872150297085,29688.23147664864,-0.05024807232557976,-37278.718127339496
32,3.1000000000000014,-90.63003240289414,0.0,1966.9985798452658,0.0,0.04726602726618793,0.0,0.5032429019594437,29620.87720933285,-0.05457759069120659,-40395.84122900561
33,3.2000000000000015,-90.24291498056753,0.0,1966.0308603472936,0.0,0.05826987857287133,0.0,0.5022420418813784,29561.966585137936,-0.0584237208368636,-43153.44280083052
34,3.3000000000000016,-89.86046269137611,0.0,1965.0636668350005,0.0,0.06862739641989064,0.0,0.5013754208038552,29510.95726851492,-0.06177931332680463,-45550.17888130562
35,3.4000000000000017,-89.48374906075556,0.0,1964.0967459685319,0.0,0.07829445918209667,0.0,0.5006335186768055,29467.288909316772,-0.06464090571582064,-47586.65022641589
36,3.5000000000000018,-89.11378099947818,0.0,1963.1298634033067,0.0,0.0872327190822018,0.0,0.5000065317702614,29430.384459997586,-0.0670085242743013,-49265.278446132725
37,3.600000000000002,-88.75149550169853,0.0,1962.1628042296402,0.0,0.09540959257868428,0.0,0.4994844204678421,29399.652988737183,-0.06888545957287134,-50590.182879853004
38,3.700000000000002,-88.39775679628485,0.0,1961.1953733209677,0.0,0.10279822162002863,0.0,0.49905697767444185,29374.49370591765,-0.07027802404321255,-51567.06160896475
39,3.800000000000002,-88.05335394149998,0.0,1960.2273955525848,0.0,0.10937740773529535,0.0,0.4987139132145784,29354.300931810085,-0.07119529952201041,-52203.079178040956
40,3.900000000000002,-87.71899885399912,0.0,1959.258715861642,0.0,0.11513152086481862,0.0,0.49844494981834114,29338.46974630756,-0.07164888223878307,-52506.762720957864
41,4.000000000000002,-87.39532476433625,0.0,1958.2891991274976,0.0,0.12005038472749324,0.0,0.49823992654451854,29326.402076410362,-0.07165263181824676,-52487.90732246998
42,4.100000000000001,-87.082885092509,0.0,1957.3187298593853,0.0,0.12412914038663253,0.0,0.4980889057671403,29317.512993453878,-0.07122242973320266,-52157.490636873874
43,4.200000000000001,-86.78215273833759,0.0,1956.3472116856594,0.0,0.1273680895286123,0.0,0.4979822801475778,29311.237009486427,-0.07037595136339533,-51527.59607022785
44,4.300000000000001,-86.49351978249916,0.0,1955.3745666455852,0.0,0.1297725188204021,0.0,0.4979108763269399,29307.034180603685,-0.06913245448131969,-50611.343237856694
45,4.4,-86.21729759469133,0.0,1954.4007342907457,0.0,0.13135250657506825,0.0,0.49786605240225423,29304.395844396684,-0.06751258567844609,-49422.82395204401
46,4.5,-85.95371734557328,0.0,1953.4256706085866,0.0,0.1321227128379287,0.0,0.4978397865953148,29302.849839000228,-0.06553820503181013,-47977.041685035336
47,4.6,-85.70293091876393,0.0,1952.449346785403,0.0,0.13210215391755645,0.0,0.4978247548857619,29301.965072575946,-0.06323222824352302,-46289.85229170595
48,4.699999999999999,-85.46501221823144,0.0,1951.4717478301525,0.0,0.1313139623302236,0.0,0.49781439576011133,29301.35533444015,-0.060618484601536134,-44377.903760063746
49,4.799999999999999,-85.23995886489202,0.0,1950.4928710838362,0.0,0.12978513310622347,0.0,0.4978029606250646,29300.682262391303,-0.05772158843188368,-42258.572876301594
50,4.899999999999999,-85.02769427418266,0.0,1949.5127246417737,0.0,0.12754625742206233,0.0,0.49778554884390674,29299.65740495235,-0.05456682125078686,-39949.896929794224
51,4.999999999999998,-84.8280701038507,0.0,1948.5313257179255,0.0,0.12463124457188035,0.0,0.49775812677463505,29298.043341955017,-0.05118002157849429,-37470.498923654086
52,5.099999999999998,-84.64086905830125,0.0,1947.5486989814287,0.0,0.12107703337082167,0.0,0.49771753061134416,29295.653851783718,-0.04758747933525928,-34839.505176358914
53,5.1999999999999975,-84.46580803267408,0.0,1946.5648748957462,0.0,0.11692329418698452,0.0,0.4976614532482011,29292.353138189115,-0.043815831885446944,-32076.454675222398
54,5.299999999999997,-84.30254157650846,0.0,1945.5798880902685,0.0,0.11221212292032563,0.0,0.4975884157887235,29288.054153324265,-0.039891959104346994,-29201.20004724798
55,5.399999999999997,-84.15066565352895,0.0,1944.5937757929078,0.0,0.10698772837886318,0.0,0.4974977247017836,29282.716075946984,-0.035842875285083085,-26233.800520822348
56,5.4999999999999964,-84.0097216708807,0.0,1943.6065763502131,0.0,0.10129611463664477,0.0,0.49738941596943625,29276.341023961017,-0.031695616248025464,-23194.407737088215
57,5.599999999999996,-83.8792007481852,0.0,1942.6183278588958,0.0,0.0951847600860932,0.0,0.49726418787041043,29268.97009805236,-0.02747712062823091,-20103.145708813678
58,5.699999999999996,-83.75854819419128,0.0,1941.6290669294708,0.0,0.08870229501174821,0.0,0.4971233242882247,29260.678867604907,-0.02321410496285317,-16979.986596324714
59,5.799999999999995,-83.64716815665835,0.0,1940.6388275990892,0.0,0.08189817960606222,0.0,0.49696861061739167,29251.572420939672,-0.018932932845910126,-13844.62425783416
60,5.899999999999995,-83.54442840950594,0.0,1939.6476404066827,0.0,0.07482238441483502,0.0,0.49680224446037846,29241.780108937877,-0.014659479029821882,-10716.34772348206
61,5.999999999999995,-83.4496652402447,0.0,1938.655531639383,0.0,0.06752507523548248,0.0,0.4966267433597521,29231.45011415501,-0.010418989902418963,-7613.916832331277
62,6.099999999999994,-83.36218840029673,0.0,1937.6625227549366,0.0,0.06005630449255423,0.0,0.4964448517947043,29220.743976636295,-0.006235942229598088,-4555.442258908646
63,6.199999999999994,-83.28128608101376,0.0,1936.6686299806547,0.0,0.052465711080308675,0.0,0.49625944959217366,29209.83120299534,-0.0021339024077930368,-1558.2720457729883
64,6.299999999999994,-83.2062298789873,0.0,1935.6738640854137,0.0,0.04480223059192058,0.0,0.49607346376557443,29198.88407724171,0.0018646112966211876,1361.1134387643542
65,6.399999999999993,-83.13627971556676,0.0,1934.6782303174755,0.0,0.03711381775080012,0.0,0.49588978560632774,29188.07278078845,0.005738260938798149,4187.1964687496065
66,6.499999999999993,-83.07068867729454,0.0,1933.681728497526,0.0,0.029447182724699886,0.0,0.4957111946241224,29177.560915575843,0.009467012958321865,6905.505530698226
67,6.5999999999999925,-83.00870774615312,0.0,1932.6843532533924,0.0,0.021847542842099648,0.0,0.4955402906712366,29167.501508908987,0.013032251697954677,9502.686532562599
68,6.699999999999992,-82.94959039101039,0.0,1931.6860943804743,0.0,0.014358391047990582,0.0,0.49537943530494943,29158.033562049324,0.016416880214819313,11966.561064425388
69,6.799999999999992,-82.8925969943547,0.0,1930.686937310026,0.0,0.007021282238402517,0.0,0.4952307031504353,29149.279187434622,0.01960540656315703,14286.171495634713
70,6.8999999999999915,-82.83699909124151,0.0,1929.6868636660915,0.0,-0.00012436159415474268,0.0,0.4950958437345238,29141.341362214072,0.022584014138935446,16451.813043106693
71,6.999999999999991,-82.78208340024368,0.0,1928.6858518911033,0.0,-0.0070414266827818475,0.0,0.494976253977086,29134.302309091283,0.02534061513206235,18455.05325875769
72,7.099999999999991,-82.72715562903366,0.0,1927.6838779199047,0.0,-0.013695262762719245,0.0,0.4948729612592575,29128.222499719897,0.0278648866066645,20288.739648925955
73,7.19999999999999,-82.67154403996227,0.0,1926.6809158821998,0.0,-0.02005381799051652,0.0,0.49478661674236935,29123.14026145586,0.030148289199356134,21946.996347398435
74,7.29999999999999,-82.61460276358805,0.0,1925.676938814143,0.0,-0.026087753383930982,0.0,0.4947174983929981,29119.07195541187,0.032184068867207066,23425.210912269016
75,7.39999999999999,-82.55571485051472,0.0,1924.671919360888,0.0,-0.03177053683578707,0.0,0.49466552298120203,29116.01268267355,0.03396724251202976,24720.01240498561
76,7.499999999999989,-82.49429505409206,0.0,1923.6658304533703,0.0,-0.037078516913046845,0.0,0.4946302661626896,29113.937466335912,0.03549456864051858,25829.24194050318
77,7.599999999999989,-82.42979233851848,0.0,1922.6586459443436,0.0,-0.04199097679182685,0.0,0.49461098963203004,29112.80284974129,0.0367645044802248,26751.9168760801
78,7.699999999999989,-82.3616921086549,0.0,1921.6503411906485,0.0,-0.04649016879955881,0.0,0.4946066742428458,29112.548845933907,0.03777715115372139,27488.18974066287
79,7.799999999999988,-82.2895181594339,0.0,1920.640893570822,0.0,-0.05056133013727349,0.0,0.4946160579311436,29113.101169827114,0.0385341886166864,28039.302906123743
80,7.899999999999988,-82.212834344145,0.0,1919.6302829293793,0.0,-0.05419268043913757,0.0,0.4946376772479353,29114.37368281347,0.039038802093403574,28407.539875723654
81,7.999999999999988,-82.13124596212603,0.0,1918.6184919413722,0.0,-0.05737540189450366,0.0,0.4946699113050792,29116.27097941696,0.039295601702398084,28596.173924079743
82,8.099999999999987,-82.0444008675181,0.0,1917.6055063930985,0.0,-0.06010360271185817,0.0,0.4947110269614493,29118.691046950906,0.0393105368655217,28609.414676220855
83,8.199999999999987,-81.95199030178276,0.0,1916.5913153770377,0.0,-0.062374264746427405,0.0,0.4947592241228148,29121.52793186888,0.039090806947694436,28452.353069772595
84,8.299999999999986,-81.85374945366065,0.0,1915.5759114012149,0.0,-0.06418717614617711,0.0,0.49481268009547463,29124.67435041964,0.038644769394757195,28130.905011496623
85,8.399999999999986,-81.7494577512008,0.0,1914.559290415164,0.0,-0.06554484989681045,0.0,0.4948695920183362,29128.02418619927,0.037981846436775143,27651.753923444834
