frame,time,x,y,z,phi,theta,psi,thrust_ratio,thrust,vectoring_angle,torque
1,0.0,-14.31688959471684,0.0,2000.0,0.0,-0.5377180995051987,0.0,1.0,58860.0,0.39269908169872414,563118.6707252297
2,0.1,-14.147121581317288,0.0,1998.0291749080532,0.0,-0.5377180995051987,0.0,1.0,58860.0,0.39269908169872414,563118.6707252297
3,0.2,-13.876864352440252,0.0,1996.1287620043086,0.0,-0.528708200773595,0.0,1.0,58860.0,0.39269908169872414,563118.6707252297
4,0.30000000000000004,-13.506117908085734,0.0,1994.2987612887662,0.0,-0.5106884033103877,0.0,1.0,58860.0,0.39269908169872414,563118.6707252297
5,0.4,-13.0364045842057,0.0,1992.5400713071133,0.0,-0.4836587071155766,0.0,1.0,58860.0,0.39269908169872414,563118.6707252297
6,0.5,-12.47079303019082,0.0,1990.8544478217646,0.0,-0.44761911218916195,0.0,1.0,58860.0,0.28565129648864557,414642.8249734349
7,0.6,-11.813944290794312,0.0,1989.2444200934267,0.0,-0.4025696185311436,0.0,1.0,58860.0,0.19745147443260672,288665.5729239993
8,0.7,-11.072176181113294,0.0,1987.713162771179,0.0,-0.35088583967355025,0.0,1.0,58860.0,0.14034930259599013,205846.65046586865
9,0.7999999999999999,-10.253540084094109,0.0,1986.2643206907326,0.0,-0.2945834116491729,0.0,1.0,58860.0,0.09720538281817817,142812.56935115924
10,0.8999999999999999,-9.367464199054158,0.0,1984.9016238680047,0.0,-0.23498743721734167,0.0,1.0,58860.0,0.06026150810803227,88621.14924522984
11,0.9999999999999999,-8.424423364240814,0.0,1983.6285753728253,0.0,-0.1731064616758919,0.0,1.0,58860.0,0.026048103240597573,38325.449582329165
12,1.0999999999999999,-7.435701132744352,0.0,1982.4482347653159,0.0,-0.10980754774651844,0.0,1.0,58860.0,-0.006873976330235936,-10114.976511448995
13,1.2,-6.413184783615309,0.0,1981.3630618416375,0.0,-0.045895426623827715,0.0,1.0,58860.0,-0.03896495302363225,-57322.420675884096
14,1.3,-5.369167463180288,0.0,1980.3748072459002,0.0,0.017854854874679818,0.0,1.0,58860.0,-0.07020770787078819,-103225.79124921293
15,1.4000000000000001,-4.31614862093796,0.0,1979.4844460495547,0.0,0.0806879776423732,0.0,1.0,58860.0,-0.10035330730061727,-147422.15781615584
16,1.5000000000000002,-3.266632715094861,0.0,1978.6921535801678,0.0,0.14186948775007918,0.0,1.0,58860.0,-0.12904671655195432,-189365.63441600034
17,1.6000000000000003,-2.2329306179911685,0.0,1977.9973227722926,0.0,0.20069224333272667,0.0,1.0,58860.0,-0.1558962971604296,-228473.31434823954
18,1.7000000000000004,-1.2269700367132597,0.0,1977.3986208198937,0.0,0.2564851487647182,0.0,1.0,58860.0,-0.1805164168389394,-264189.6122161151
19,1.8000000000000005,-0.2601214796088671,0.0,1976.8940809010976,0.0,0.3086224811671378,0.0,1.0,58860.0,-0.20255619906786412,-296027.4295660904
20,1.9000000000000006,0.6569546192862877,0.0,1976.4812228107357,0.0,0.3565327797740996,0.0,1.0,58860.0,-0.22171972977196233,-323594.00315753487
21,2.0000000000000004,1.514435656843944,0.0,1976.1571948374342,0.0,0.39970663950800395,0.0,1.0,58860.0,-0.23777953491320808,-346604.79144606454
22,2.1000000000000005,2.303437565231011,0.0,1975.9189283578391,0.0,0.4377029951913877,0.0,1.0,58860.0,-0.2505837706015283,-364887.1776001012
23,2.2000000000000006,3.0160886119542614,0.0,1975.7632964513705,0.0,0.47015367421163445,0.0,1.0,58860.0,-0.2600573069845166,-378375.5244758345
24,2.3000000000000007,3.645578302290738,0.0,1975.687268311896,0.0,0.4967661583902796,0.0,1.0,58860.0,-0.2661971843329228,-387099.3732035519
25,2.400000000000001,4.186184822916395,0.0,1975.68805221358,0.0,0.5173246341773113,0.0,1.0,58860.0,-0.26906342239225034,-391166.89319481194
26,2.500000000000001,4.6332853520828134,0.0,1975.7632210988456,0.0,0.5316895199930863,0.0,1.0,58860.0,-0.2687666268897733,-390745.85497496434
27,2.600000000000001,4.983353870715823,0.0,1975.9108163132569,0.0,0.5397957355177443,0.0,1.0,58860.0,-0.2654541030200911,-386044.3352868599
28,2.700000000000001,5.233950882916143,0.0,1976.1294264572516,0.0,0.5416500173628028,0.0,1.0,58860.0,-0.2592961888463887,-377293.0888772064
29,2.800000000000001,5.383708789784454,0.0,1976.4182396458884,0.0,0.5373275898432716,0.0,1.0,58860.0,-0.25047427967458524,-364731.0915134682
30,2.9000000000000012,5.432315683580033,0.0,1976.777068605809,0.0,0.526968472901705,0.0,1.0,58860.0,-0.23917160328661108,-348595.2477433152
31,3.0000000000000013,5.380499175196293,0.0,1977.2063489830916,0.0,0.510773658495923,0.0,1.0,58860.0,-0.2255673231049316,-329114.73266794946
32,3.1000000000000014,5.230010665483076,0.0,1977.707112013242,0.0,0.489001320126248,0.0,1.0,58860.0,-0.20983407956200445,-306509.9502722367
33,3.2000000000000015,4.983609333152146,0.0,1978.280933363253,0.0,0.4619631460338857,0.0,1.0,58860.0,-0.19213868851284993,-280995.672065371
34,3.3000000000000016,4.645044132754788,0.0,1978.9298605486827,0.0,0.4300208127371677,0.0,1.0,58860.0,-0.17264542712746553,-252787.58223659647
35,3.4000000000000017,4.219031349966574,0.0,1979.6563219003042,0.0,0.3935825486874037,0.0,1.0,58860.0,-0.1515211551272115,-222111.201846459
36,3.5000000000000018,3.711224804035063,0.0,1980.4630206296986,0.0,0.3530996833218542,0.0,1.0,58860.0,-0.12894143084693882,-189211.9936741096
37,3.600000000000002,3.1281756562069782,0.0,1981.3528181197394,0.0,0.30906303872676133,0.0,1.0,58860.0,-0.10509677053045988,-154365.36179779022
38,3.700000000000002,2.4772789957624126,0.0,1982.3286111149719,0.0,0.2619990022328827,0.0,1.0,58860.0,-0.08019824916026194,-117885.26048428935
39,3.800000000000002,1.7667049262902517,0.0,1983.39320795407,0.0,0.21246511995023942,0.0,1.0,58860.0,-0.054481738616463146,-80130.22342146492
40,3.900000000000002,1.0053127313219528,0.0,1984.5492093000303,0.0,0.16104507349984754,0.0,1.0,58860.0,-0.028210213867188638,-41505.824026769755
41,4.000000000000002,0.20254779771066633,0.0,1985.79889890553,0.0,0.10834294347471221,0.0,1.0,58860.0,-0.0016737224006836248,-2462.881362708159
42,4.100000000000001,-0.6316777753908652,0.0,1987.1441497311096,0.0,0.05497672026514856,0.0,1.0,58860.0,0.02481320025411876,36508.87751648757
43,4.200000000000001,-1.4871186721638123,0.0,1988.5863501658698,0.0,0.0015710909537815856,0.0,1.0,58860.0,0.05091668148884865,74891.52753436075
44,4.300000000000001,-2.353340568716748,0.0,1990.1263541739609,0.0,-0.05125039631732159,0.0,1.0,58860.0,0.07629102719900463,112153.3778287047
45,4.4,-3.2198707131880067,0.0,1991.764457939909,0.0,-0.10287361914787499,0.0,1.0,58860.0,0.10058818541516217,147766.03800372296
46,4.5,-4.076349931216289,0.0,1993.5004040924857,0.0,-0.15270238793316912,0.0,1.0,58860.0,0.12346854017260792,181222.69566849055
47,4.6,-4.912680927138619,0.0,1995.3334129698485,0.0,-0.2001669001104037,0.0,1.0,58860.0,0.14461224926736543,212056.00681618226
